"zip","population","city","county"
"98621",309,"Grays River","Wahkiakum"
"98628",285,"Klickitat","Klickitat"
"99018",279,"Latah","Spokane"
"99124",277,"Elmer City","Okanogan"
"98845",266,"Palisades","Douglas"
"98381",266,"Sekiu","Clallam"
"98267",262,"Marblemount","Skagit"
"98647",256,"Skamokawa","Wahkiakum"
"98555",243,"Lilliwaup","Mason"
"98224",243,"Baring","King"
"98834",234,"Methow","Okanogan"
"98819",233,"Conconully","Okanogan"
"98832",230,"Marlin","Grant"
"98527",227,"Bay Center","Pacific"
"98288",225,"Skykomish","King"
"99149",223,"Malden","Whitman"
"99131",218,"Gifford","Stevens"
"98571",214,"Pacific Beach","Grays Harbor"
"98860",214,"Wilson Creek","Grant"
"99335",205,"Kahlotus","Franklin"
